"data_version","target","date","location","type","quantile","value"
"2021-02-08","3 day R","2020-01-06","DE","point","NA",0.867363055592098
"2021-02-08","3 day R","2020-01-06","DE","quantile","0.025",0.720801683630656
"2021-02-08","3 day R","2020-01-06","DE","quantile","0.975",1.04725526154815
"2021-02-08","3 day R","2020-01-07","DE","point","NA",0.822936636230774
"2021-02-08","3 day R","2020-01-07","DE","quantile","0.025",0.658459795903989
"2021-02-08","3 day R","2020-01-07","DE","quantile","0.975",0.992562943948865
"2021-02-08","3 day R","2020-01-08","DE","point","NA",0.779582468671304
"2021-02-08","3 day R","2020-01-08","DE","quantile","0.025",0.613485070312612
"2021-02-08","3 day R","2020-01-08","DE","quantile","0.975",0.95556289831021
"2021-02-08","3 day R","2020-01-09","DE","point","NA",0.764592612078681
"2021-02-08","3 day R","2020-01-09","DE","quantile","0.025",0.59110566769277
"2021-02-08","3 day R","2020-01-09","DE","quantile","0.975",0.948523874630103
"2021-02-08","3 day R","2020-01-10","DE","point","NA",0.758274213781687
"2021-02-08","3 day R","2020-01-10","DE","quantile","0.025",0.582949973855561
"2021-02-08","3 day R","2020-01-10","DE","quantile","0.975",0.957500864461111
"2021-02-08","3 day R","2020-01-11","DE","point","NA",0.768200043196524
"2021-02-08","3 day R","2020-01-11","DE","quantile","0.025",0.581334783119413
"2021-02-08","3 day R","2020-01-11","DE","quantile","0.975",0.967393695927197
"2021-02-08","3 day R","2020-01-12","DE","point","NA",0.7714732287488
"2021-02-08","3 day R","2020-01-12","DE","quantile","0.025",0.57745674525685
"2021-02-08","3 day R","2020-01-12","DE","quantile","0.975",0.969177807181314
"2021-02-08","3 day R","2020-01-13","DE","point","NA",0.760188613808735
"2021-02-08","3 day R","2020-01-13","DE","quantile","0.025",0.566604697015129
"2021-02-08","3 day R","2020-01-13","DE","quantile","0.975",0.958699250326018
"2021-02-08","3 day R","2020-01-14","DE","point","NA",0.73484076514096
"2021-02-08","3 day R","2020-01-14","DE","quantile","0.025",0.550585740489432
"2021-02-08","3 day R","2020-01-14","DE","quantile","0.975",0.934094751718671
"2021-02-08","3 day R","2020-01-15","DE","point","NA",0.711514451826063
"2021-02-08","3 day R","2020-01-15","DE","quantile","0.025",0.532518107292422
"2021-02-08","3 day R","2020-01-15","DE","quantile","0.975",0.901142932637832
"2021-02-08","3 day R","2020-01-16","DE","point","NA",0.695206478722243
"2021-02-08","3 day R","2020-01-16","DE","quantile","0.025",0.512254264784234
"2021-02-08","3 day R","2020-01-16","DE","quantile","0.975",0.870306129029536
"2021-02-08","3 day R","2020-01-17","DE","point","NA",0.670190152241584
"2021-02-08","3 day R","2020-01-17","DE","quantile","0.025",0.488889468643504
"2021-02-08","3 day R","2020-01-17","DE","quantile","0.975",0.844828778375237
"2021-02-08","3 day R","2020-01-18","DE","point","NA",0.72218840832793
"2021-02-08","3 day R","2020-01-18","DE","quantile","0.025",0.538634050571066
"2021-02-08","3 day R","2020-01-18","DE","quantile","0.975",0.908324600178919
"2021-02-08","3 day R","2020-01-19","DE","point","NA",0.807821444756395
"2021-02-08","3 day R","2020-01-19","DE","quantile","0.025",0.59202423908787
"2021-02-08","3 day R","2020-01-19","DE","quantile","0.975",1.01513757042264
"2021-02-08","3 day R","2020-01-20","DE","point","NA",0.907592794957404
"2021-02-08","3 day R","2020-01-20","DE","quantile","0.025",0.650972876584699
"2021-02-08","3 day R","2020-01-20","DE","quantile","0.975",1.16932346054365
"2021-02-08","3 day R","2020-01-21","DE","point","NA",0.945493569075603
"2021-02-08","3 day R","2020-01-21","DE","quantile","0.025",0.67069392293925
"2021-02-08","3 day R","2020-01-21","DE","quantile","0.975",1.20929322737596
"2021-02-08","3 day R","2020-01-22","DE","point","NA",0.96525978019553
"2021-02-08","3 day R","2020-01-22","DE","quantile","0.025",0.697211973526852
"2021-02-08","3 day R","2020-01-22","DE","quantile","0.975",1.23193379668512
"2021-02-08","3 day R","2020-01-23","DE","point","NA",0.996082551188348
"2021-02-08","3 day R","2020-01-23","DE","quantile","0.025",0.730525408535297
"2021-02-08","3 day R","2020-01-23","DE","quantile","0.975",1.2444683829888
"2021-02-08","3 day R","2020-01-24","DE","point","NA",1.02355216746089
"2021-02-08","3 day R","2020-01-24","DE","quantile","0.025",0.76724097098582
"2021-02-08","3 day R","2020-01-24","DE","quantile","0.975",1.2500309810633
"2021-02-08","3 day R","2020-01-25","DE","point","NA",1.02513775091163
"2021-02-08","3 day R","2020-01-25","DE","quantile","0.025",0.796929955780068
"2021-02-08","3 day R","2020-01-25","DE","quantile","0.975",1.24109078003649
"2021-02-08","3 day R","2020-01-26","DE","point","NA",1.00793538331603
"2021-02-08","3 day R","2020-01-26","DE","quantile","0.025",0.804039559471
"2021-02-08","3 day R","2020-01-26","DE","quantile","0.975",1.2055571968553
"2021-02-08","3 day R","2020-01-27","DE","point","NA",0.966389605552055
"2021-02-08","3 day R","2020-01-27","DE","quantile","0.025",0.781834444201876
"2021-02-08","3 day R","2020-01-27","DE","quantile","0.975",1.14776261571184
"2021-02-08","3 day R","2020-01-28","DE","point","NA",0.913724957931222
"2021-02-08","3 day R","2020-01-28","DE","quantile","0.025",0.737090256237642
"2021-02-08","3 day R","2020-01-28","DE","quantile","0.975",1.08316322124633
"2021-02-08","3 day R","2020-01-29","DE","point","NA",0.854112802441078
"2021-02-08","3 day R","2020-01-29","DE","quantile","0.025",0.683828489765873
"2021-02-08","3 day R","2020-01-29","DE","quantile","0.975",1.0211967704118
"2021-02-08","3 day R","2020-01-30","DE","point","NA",0.808994130091623
"2021-02-08","3 day R","2020-01-30","DE","quantile","0.025",0.63773078309353
"2021-02-08","3 day R","2020-01-30","DE","quantile","0.975",0.973821557151229
"2021-02-08","3 day R","2020-01-31","DE","point","NA",0.783315839219792
"2021-02-08","3 day R","2020-01-31","DE","quantile","0.025",0.611453561606391
"2021-02-08","3 day R","2020-01-31","DE","quantile","0.975",0.95555755997319
"2021-02-08","3 day R","2020-02-01","DE","point","NA",0.785251538681867
"2021-02-08","3 day R","2020-02-01","DE","quantile","0.025",0.61163952873131
"2021-02-08","3 day R","2020-02-01","DE","quantile","0.975",0.971391404137063
"2021-02-08","3 day R","2020-02-02","DE","point","NA",0.819809608735152
"2021-02-08","3 day R","2020-02-02","DE","quantile","0.025",0.641690122967719
"2021-02-08","3 day R","2020-02-02","DE","quantile","0.975",1.01980761994272
"2021-02-08","3 day R","2020-02-03","DE","point","NA",0.889834717743026
"2021-02-08","3 day R","2020-02-03","DE","quantile","0.025",0.708597190071591
"2021-02-08","3 day R","2020-02-03","DE","quantile","0.975",1.09944902333854
"2021-02-08","3 day R","2020-02-04","DE","point","NA",1.00577082398431
"2021-02-08","3 day R","2020-02-04","DE","quantile","0.025",0.822868553610653
"2021-02-08","3 day R","2020-02-04","DE","quantile","0.975",1.21906113116336
"2021-02-08","3 day R","2020-02-05","DE","point","NA",1.19728253846404
"2021-02-08","3 day R","2020-02-05","DE","quantile","0.025",0.99034547185922
"2021-02-08","3 day R","2020-02-05","DE","quantile","0.975",1.41298905690554
"2021-02-08","3 day R","2020-02-06","DE","point","NA",1.45032840374273
"2021-02-08","3 day R","2020-02-06","DE","quantile","0.025",1.19837256315604
"2021-02-08","3 day R","2020-02-06","DE","quantile","0.975",1.72348269165243
"2021-02-08","3 day R","2020-02-07","DE","point","NA",1.78422623149316
"2021-02-08","3 day R","2020-02-07","DE","quantile","0.025",1.42345681963884
"2021-02-08","3 day R","2020-02-07","DE","quantile","0.975",2.14117981017728
"2021-02-08","3 day R","2020-02-08","DE","point","NA",2.13932330932212
"2021-02-08","3 day R","2020-02-08","DE","quantile","0.025",1.67918064713718
"2021-02-08","3 day R","2020-02-08","DE","quantile","0.975",2.61305027466208
"2021-02-08","3 day R","2020-02-09","DE","point","NA",2.52588647524835
"2021-02-08","3 day R","2020-02-09","DE","quantile","0.025",1.98227363116058
"2021-02-08","3 day R","2020-02-09","DE","quantile","0.975",3.06241161817751
"2021-02-08","3 day R","2020-02-10","DE","point","NA",2.85929712409929
"2021-02-08","3 day R","2020-02-10","DE","quantile","0.025",2.29139097385991
